,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,neutral_location
195,33,81,0,0,5,3,1
196,22,14,0,0,1,1,0
197,127,33,0,0,0,1,0
198,63,81,0,0,1,3,1
199,97,45,0,0,0,2,0
200,56,70,0,0,0,0,0
201,97,45,0,0,1,1,0
202,26,30,0,0,1,1,1
203,16,14,0,0,1,4,1
204,51,150,0,0,0,1,0
205,26,150,0,0,1,0,1
206,97,74,0,0,1,0,0
207,51,30,0,0,1,1,0
208,30,150,0,0,2,1,1
209,97,74,0,0,2,0,0
210,38,21,0,0,1,1,0
211,51,26,0,0,0,1,0
212,125,56,0,0,0,0,0
213,83,32,0,0,1,1,0
214,5,28,0,0,1,1,0
215,134,32,0,0,2,2,1
216,67,27,0,0,0,3,0
217,83,134,0,0,0,1,0
218,67,27,0,0,0,2,0
219,13,22,0,0,2,1,1
220,7,14,0,0,0,1,0
221,42,18,0,0,1,2,0
222,83,26,0,0,1,0,0
223,20,10,0,0,0,0,1
224,21,55,0,0,1,1,0
225,55,20,0,0,0,2,1
226,21,10,0,0,1,3,0
227,61,35,0,0,0,0,0
228,28,41,0,0,0,0,0
229,17,10,0,0,2,1,1
230,20,42,0,0,2,2,1
231,46,30,0,0,2,2,0
232,62,60,0,0,0,0,0
233,17,20,0,0,0,0,0
234,21,42,0,0,1,0,0
235,153,81,0,0,3,2,0
236,75,109,0,0,2,0,0
237,12,4,0,0,1,0,0
238,49,8,0,0,1,2,0
239,15,35,0,0,0,0,0
240,27,5,0,0,1,3,0
241,152,145,0,0,0,1,0
242,21,42,0,0,1,1,0
243,30,46,0,0,2,1,0
244,54,90,0,0,1,0,0
245,25,26,0,0,0,0,0
246,32,80,0,0,4,2,0
247,124,61,0,0,2,1,0
248,15,55,0,0,3,1,0
249,35,52,0,0,1,1,0
250,2,8,0,0,2,0,0
251,1,11,0,0,2,1,0
252,34,24,0,0,0,0,0
253,13,16,0,0,0,0,0
254,116,29,0,0,1,2,0
255,42,10,0,0,2,0,0
256,30,9,0,0,0,1,0
257,6,125,0,0,0,2,0
258,18,61,0,0,3,0,1
259,36,55,0,0,0,2,0
260,32,57,0,0,0,2,0
261,21,56,0,0,2,2,0
262,31,62,0,0,1,0,1
263,28,73,0,0,4,0,1
264,25,61,0,0,4,0,1
265,58,62,0,0,2,1,1
266,22,73,0,0,0,0,1
267,78,60,0,0,1,2,0
268,18,25,0,0,0,0,1
269,31,58,0,0,1,0,1
270,22,28,0,0,1,0,1
271,25,57,0,0,0,1,1
272,31,28,0,0,1,2,1
273,22,58,0,0,1,0,1
274,52,123,0,0,0,1,0
275,18,28,0,0,2,2,1
276,22,57,0,0,4,0,1
277,140,147,0,0,2,3,1
278,20,56,0,0,0,1,0
279,109,140,0,0,2,0,1
280,28,57,0,0,3,1,1
281,18,22,0,0,2,1,1
282,109,147,0,0,1,1,1
283,24,36,0,0,1,0,1
284,93,109,0,0,3,2,0
285,83,23,0,0,1,1,0
286,20,18,0,0,1,0,0
287,32,36,0,0,2,0,0
288,10,26,0,0,3,1,0
289,36,31,0,0,1,2,0
290,6,53,0,0,3,1,0
291,43,34,0,0,0,2,1
292,87,52,0,0,1,1,0
293,8,17,0,0,0,1,0
294,35,160,0,0,4,1,0
295,3,22,0,0,0,0,0
296,11,47,0,0,3,0,0
297,54,103,0,0,4,1,0
298,4,63,0,0,3,0,0
299,57,12,0,0,0,1,0
300,32,9,0,0,0,2,0
301,100,118,0,0,0,1,0
302,92,41,0,0,1,0,0
303,23,43,0,0,1,2,0
304,37,34,0,0,5,1,0
305,117,71,0,0,3,0,0
306,56,2,0,0,0,2,0
307,62,25,0,0,2,2,0
308,23,46,0,0,0,2,0
309,40,27,0,0,2,2,0
310,20,72,0,0,1,0,1
311,73,51,0,0,3,1,1
312,40,27,0,0,2,1,0
313,47,34,0,0,1,0,1
314,1,43,0,0,3,0,0
315,28,53,0,0,3,2,0
316,20,73,0,0,3,0,1
317,51,72,0,0,2,1,1
318,9,5,0,0,3,1,0
319,23,115,0,0,4,0,0
320,37,27,0,0,0,3,0
321,47,27,0,0,1,1,1
322,37,47,0,0,0,0,0
323,5,110,0,0,2,1,1
324,15,32,0,0,5,0,0
325,27,41,0,0,3,4,0
326,40,6,0,0,3,3,0
327,49,102,0,0,2,2,0
328,39,43,0,0,1,0,0
329,15,4,0,0,0,0,0
330,54,44,0,0,1,1,0
331,113,36,0,0,1,2,0
332,110,146,0,0,2,2,0
333,12,43,0,0,1,0,0
334,40,69,0,0,2,1,0
335,59,88,0,0,5,3,0
336,47,6,0,0,1,0,0
337,110,146,0,0,2,0,0
338,93,142,0,0,3,1,0
339,23,35,0,0,0,0,0
340,44,17,0,0,0,1,1
341,5,3,0,0,1,0,0
342,16,38,0,0,2,0,0
343,11,26,0,0,3,1,0
344,8,158,0,0,2,0,0
345,23,32,0,0,1,1,0
346,2,12,0,0,0,2,0
347,54,17,0,0,1,4,0
348,20,45,0,0,2,1,0
349,52,6,0,0,0,3,0
350,58,30,0,0,1,1,0
351,147,113,0,0,2,0,0
352,11,49,0,0,7,1,0
353,4,5,0,0,2,1,0
354,10,87,0,0,0,0,0
355,41,2,0,0,1,5,0
356,38,9,0,0,1,2,0
357,91,74,0,0,2,0,0
358,29,93,0,0,1,1,0
359,18,33,0,0,2,0,1
360,16,8,0,0,1,0,0
361,102,6,0,0,0,0,0
362,85,35,0,0,2,3,1
363,23,13,0,0,1,0,0
364,58,1,0,0,1,1,0
365,18,32,0,0,2,0,1
366,47,37,0,0,2,1,1
367,12,59,0,0,1,3,0
368,21,135,0,0,4,1,0
369,3,4,0,0,2,0,0
370,44,78,0,0,1,0,0
371,34,49,0,0,3,1,0
372,43,69,0,0,0,0,0
373,58,2,0,0,0,2,0
374,51,1,0,0,2,8,1
375,58,9,0,0,0,2,0
376,43,8,0,0,0,0,1
377,50,16,0,0,0,1,1
378,51,37,0,0,0,3,1
379,13,33,0,0,3,0,1
380,7,129,0,0,5,1,0
381,44,78,0,0,1,0,0
382,58,11,0,0,0,3,0
383,70,1,0,0,0,4,1
384,10,3,0,0,1,1,1
385,1,43,0,0,1,0,1
386,5,37,0,0,2,2,1
387,17,7,0,0,1,3,1
388,4,14,0,0,0,1,1
389,23,12,0,0,1,1,0
390,27,28,0,0,1,0,1
391,24,10,0,0,2,2,1
392,6,16,0,0,1,0,1
393,3,19,0,0,2,0,1
394,2,34,0,0,2,1,1
395,8,31,0,0,4,0,1
396,1,5,0,0,1,1,1
397,11,29,0,0,3,0,1
398,7,12,0,0,1,4,1
399,23,17,0,0,2,1,0
400,4,6,0,0,1,0,1
401,37,43,0,0,0,0,1
402,3,24,0,0,3,0,1
403,16,14,0,0,2,1,1
404,10,19,0,0,3,1,1
405,8,11,0,0,2,1,1
406,27,2,0,0,1,0,1
407,34,28,0,0,2,1,1
408,29,31,0,0,4,0,1
409,85,126,0,0,1,3,0
410,12,17,0,0,0,2,1
411,23,7,0,0,0,1,0
412,43,5,0,0,1,3,1
413,1,37,0,0,3,2,1
414,3,10,0,0,1,1,1
415,14,6,0,0,0,0,1
416,4,16,0,0,1,1,1
417,19,24,0,0,6,1,1
418,27,34,0,0,0,1,1
419,28,2,0,0,1,2,1
420,8,29,0,0,0,2,1
421,31,11,0,0,0,2,1
422,148,161,0,0,0,1,0
423,1,27,0,0,3,2,1
424,5,12,0,0,3,0,1
425,7,8,0,0,3,2,1
426,34,10,0,0,1,3,1
427,2,14,0,0,2,0,1
428,23,3,0,0,0,1,0
429,16,29,0,0,1,1,1
430,11,4,0,0,1,2,1
431,155,168,0,0,4,0,0
432,155,97,0,0,1,0,0
433,52,26,0,0,3,2,0
434,168,97,0,0,2,4,1
435,4,5,0,0,2,1,1
436,2,3,0,0,2,3,1
437,29,1,0,0,2,1,1
438,7,10,0,0,2,2,1
439,29,4,0,0,1,2,1
440,10,3,0,0,0,1,1
441,52,26,0,0,2,1,0
442,159,72,0,0,1,0,0
443,10,29,0,0,4,0,1
444,3,4,0,0,0,0,1
445,126,72,0,0,1,1,0
446,84,111,0,0,3,0,0
447,111,86,0,0,0,2,1
448,84,86,0,0,1,0,0
449,24,50,0,0,2,1,0
450,119,81,0,0,2,2,1
451,42,111,0,0,4,0,0
452,76,122,0,0,3,2,0
453,43,69,0,0,1,1,0
454,37,19,0,0,0,3,0
455,12,45,0,0,2,1,0
456,16,44,0,0,2,2,0
457,52,90,0,0,0,4,0
458,72,46,0,0,2,0,0
459,32,142,0,0,1,1,0
460,3,84,0,0,4,2,0
461,26,50,0,0,2,1,0
462,26,50,0,0,0,1,0
463,100,76,0,0,0,0,0
464,26,28,0,0,2,0,0
465,28,21,0,0,1,0,1
466,161,148,0,0,2,3,0
467,79,59,0,0,1,1,1
468,26,21,0,0,0,4,0
469,42,59,0,0,1,0,0
470,117,57,0,0,0,2,0
471,155,94,0,0,1,0,0
472,99,104,0,0,4,0,0
473,123,161,0,0,2,0,0
474,148,61,0,0,0,1,0
475,100,30,0,0,2,1,0
476,110,108,0,0,1,1,0
477,111,90,0,0,0,2,0
478,114,48,0,0,0,0,0
479,115,31,0,0,1,3,0
480,52,32,0,0,2,1,0
481,136,122,0,0,1,0,0
482,102,74,0,0,0,1,0
483,50,109,0,0,2,1,0
484,132,26,0,0,0,0,0
485,44,69,0,0,6,1,0
486,136,122,0,0,1,1,0
487,11,59,0,0,1,0,0
488,20,159,0,0,2,0,0
489,71,6,0,0,1,2,0
490,18,22,0,0,2,0,0
491,127,34,0,0,1,5,0
492,45,33,0,0,0,2,0
493,124,149,0,0,0,1,0
494,55,57,0,0,2,2,0
495,42,3,0,0,0,1,0
496,86,13,0,0,0,3,0
497,151,37,0,0,0,4,0
498,116,5,0,0,0,4,0
499,117,12,0,0,1,1,0
500,39,25,0,0,1,2,0
501,8,142,0,0,1,0,0
502,7,170,0,0,3,0,0
503,19,4,0,0,0,1,0
504,43,16,0,0,0,0,0
505,75,2,0,0,1,1,0
506,79,84,0,0,0,2,0
507,35,101,0,0,2,0,0
508,67,77,0,0,0,2,0
509,36,79,0,0,1,0,0
510,126,105,0,0,2,4,1
511,38,79,0,0,2,0,0
512,113,109,0,0,0,1,1
513,80,125,0,0,1,1,1
514,113,80,0,0,1,4,1
515,71,109,0,0,2,0,0
516,113,109,0,0,0,2,1
517,38,59,0,0,0,0,0
518,43,44,0,0,1,2,0
519,53,65,0,0,0,0,0
520,94,78,0,0,0,2,0
521,52,78,0,0,0,0,1
522,21,26,0,0,3,0,0
523,41,52,0,0,0,0,0
524,142,72,0,0,0,0,0
525,116,2,0,0,0,2,0
526,20,7,0,0,0,0,0
527,73,58,0,0,2,0,0
528,70,24,0,0,1,3,0
529,55,74,0,0,3,1,0
530,21,84,0,0,2,1,0
531,40,45,0,0,1,2,0
532,130,120,0,0,2,0,0
533,14,100,0,0,2,0,0
534,13,19,0,0,3,1,0
535,18,7,0,0,1,1,0
536,32,47,0,0,4,0,0
537,54,4,0,0,0,0,0
538,12,154,0,0,4,0,0
539,48,42,0,0,2,2,0
540,105,6,0,0,0,2,0
541,66,35,0,0,0,0,0
542,135,34,0,0,3,2,0
543,8,5,0,0,1,1,0
544,33,151,0,0,1,0,0
545,17,133,0,0,4,0,0
546,31,128,0,0,5,1,0
547,11,3,0,0,4,2,0
548,39,37,0,0,5,0,0
549,79,69,0,0,0,0,0
550,50,125,0,0,1,1,0
551,25,89,0,0,5,1,0
552,141,119,0,0,1,1,0
553,84,46,0,0,3,1,0
554,153,49,0,0,2,1,0
555,118,107,0,0,4,1,0
556,61,111,0,0,3,1,0
557,106,150,0,0,3,1,0
558,74,26,0,0,1,5,0
559,114,55,0,0,2,0,0
560,65,36,0,0,0,1,0
561,29,22,0,0,2,1,0
562,80,55,0,0,0,1,0
563,65,53,0,0,2,1,0
564,119,48,0,0,0,7,0
565,27,90,0,0,1,0,0
566,54,53,0,0,3,2,0
567,47,45,0,0,0,1,1
568,54,60,0,0,2,0,0
569,84,47,0,0,2,1,1
570,65,27,0,0,1,2,1
571,72,119,0,0,0,0,0
572,54,27,0,0,1,1,0
573,65,84,0,0,1,1,1
574,47,60,0,0,1,0,1
575,33,29,0,0,1,1,0
576,30,22,0,0,2,0,0
577,60,65,0,0,4,2,1
578,54,47,0,0,2,0,0
579,27,84,0,0,3,1,1
580,24,115,0,0,5,0,0
581,137,128,0,0,1,1,0
582,107,26,0,0,1,2,0
