,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,neutral_location
8009,149,95,0,0,0,2,1
8010,2,65,0,0,1,0,0
8011,9,68,0,0,0,2,0
8012,75,68,0,0,2,0,0
8013,52,116,0,0,2,2,0
8014,115,45,0,0,1,0,0
8015,81,49,0,0,0,0,0
8016,107,34,0,0,0,3,0
8017,47,150,0,0,1,0,0
8018,135,161,0,0,2,1,1
8019,75,114,0,0,0,3,0
8020,101,63,0,0,1,0,0
8021,57,158,0,0,5,0,0
8022,65,118,0,0,4,0,0
8023,97,139,0,0,1,0,0
8024,19,42,0,0,0,1,0
8025,45,153,0,0,6,1,1
8026,23,143,0,0,7,0,0
8027,20,96,0,0,2,0,0
8028,59,145,0,0,4,0,0
8029,109,141,0,0,3,0,0
8030,63,114,0,0,7,0,0
8031,54,175,0,0,5,0,0
8032,24,90,0,0,3,0,0
8033,61,125,0,0,1,4,0
8034,76,135,0,0,3,0,0
8035,83,132,0,0,3,0,0
8036,83,136,0,0,2,1,0
8037,75,93,0,0,2,4,0
8038,80,26,0,0,2,2,0
8039,88,51,0,0,1,1,1
8040,22,35,0,0,1,2,0
8041,3,31,0,0,1,0,1
8042,154,87,0,0,1,1,0
8043,113,120,0,0,0,2,0
8044,73,122,0,0,4,2,0
8045,95,180,0,0,4,0,0
8046,146,26,0,0,1,3,0
8047,172,77,0,0,0,2,0
8048,104,164,0,0,2,1,0
8049,2,13,0,0,2,1,1
8050,126,101,0,0,2,0,0
8051,120,128,0,0,4,0,0
8052,47,20,0,0,0,0,1
8053,9,138,0,0,3,0,0
8054,15,10,0,0,0,0,1
8055,89,94,0,0,0,0,0
8056,18,40,0,0,5,0,1
8057,11,53,0,0,2,1,1
8058,8,5,0,0,1,1,1
8059,95,180,0,0,4,0,0
8060,35,3,0,0,1,1,1
8061,22,31,0,0,2,0,0
8062,20,2,0,0,2,2,1
8063,13,47,0,0,3,0,1
8064,19,109,0,0,4,0,0
8065,132,42,0,0,1,1,1
8066,40,15,0,0,0,2,1
8067,10,18,0,0,1,1,1
8068,82,12,0,0,0,0,0
8069,115,101,0,0,2,0,0
8070,146,97,0,0,1,0,0
8071,168,4,0,0,0,10,1
8072,45,132,0,0,2,1,1
8073,53,8,0,0,0,0,1
8074,46,77,0,0,1,1,0
8075,5,11,0,0,2,3,1
8076,100,122,0,0,3,1,0
8077,120,113,0,0,3,2,0
8078,83,109,0,0,3,1,1
8079,85,16,0,0,1,0,0
8080,122,105,0,0,1,1,0
8081,164,104,0,0,2,2,0
8082,107,106,0,0,3,0,0
8083,65,73,0,0,3,2,0
8084,26,80,0,0,1,1,0
8085,29,69,0,0,1,2,0
8086,89,39,0,0,3,0,0
8087,138,9,0,0,2,3,0
8088,87,154,0,0,3,1,0
8089,92,33,0,0,2,1,0
8090,51,88,0,0,3,0,0
8091,22,3,0,0,1,0,0
8092,31,35,0,0,2,1,1
8093,128,120,0,0,0,3,0
8094,94,26,0,0,3,1,0
8095,77,172,0,0,4,0,0
8096,48,52,0,0,1,1,0
8097,20,13,0,0,2,4,1
8098,19,83,0,0,7,1,0
8099,42,45,0,0,2,0,1
8100,47,2,0,0,1,3,1
8101,15,18,0,0,2,2,1
8102,10,40,0,0,2,1,1
8103,8,11,0,0,1,2,1
8104,19,45,0,0,2,1,0
8105,42,83,0,0,1,1,1
8106,5,53,0,0,3,0,1
8107,22,13,0,0,2,2,0
8108,2,35,0,0,0,1,1
8109,19,83,0,0,4,1,0
8110,45,42,0,0,1,3,1
8111,18,5,0,0,0,0,1
8112,5,37,0,0,0,2,1
8113,11,15,0,0,3,0,1
8114,4,168,0,0,8,0,0
8115,124,48,0,0,0,5,0
8116,5,72,0,0,2,1,1
8117,22,5,0,0,2,1,0
8118,35,11,0,0,1,0,1
8119,115,33,0,0,0,1,0
8120,146,65,0,0,1,1,0
8121,65,109,0,0,6,0,0
8122,122,85,0,0,2,2,0
8123,101,92,0,0,1,1,0
8124,16,52,0,0,1,0,0
8125,100,48,0,0,0,2,0
8126,26,77,0,0,1,0,0
8127,39,73,0,0,2,0,0
8128,105,82,0,0,0,1,0
8129,97,89,0,0,1,1,0
8130,122,29,0,0,3,3,0
8131,12,69,0,0,2,0,0
8132,106,94,0,0,0,0,0
8133,22,35,0,0,0,1,0
8134,61,57,0,0,0,2,0
8135,101,124,0,0,1,2,0
8136,72,97,0,0,2,2,0
8137,50,37,0,0,0,1,1
8138,11,37,0,0,6,1,1
8139,6,32,0,0,2,2,1
8140,1,66,0,0,1,0,1
8141,29,29,0,0,0,1,1
8142,103,125,0,0,1,1,0
8143,64,40,0,0,0,0,0
8144,36,99,0,0,1,0,1
8145,24,66,0,0,3,1,0
8146,75,50,0,0,3,1,0
8147,11,6,0,0,0,1,1
8148,64,71,0,0,2,2,0
8149,20,51,0,0,2,0,0
8150,64,63,0,0,3,2,0
8151,32,37,0,0,2,1,1
8152,1,29,0,0,4,1,1
8153,29,66,0,0,1,1,1
8154,7,27,0,0,1,1,0
8155,122,117,0,0,2,0,0
8156,75,36,0,0,2,2,0
8157,50,99,0,0,1,1,1
8158,11,32,0,0,4,2,1
8159,6,37,0,0,2,1,1
8160,1,29,0,0,1,2,1
8161,29,66,0,0,2,1,1
8162,20,63,0,0,1,1,0
8163,64,51,0,0,2,2,0
8164,36,29,0,0,2,0,1
8165,75,11,0,0,0,1,0
8166,78,109,0,0,1,1,0
8167,102,88,0,0,0,1,1
8168,43,80,0,0,0,1,1
8169,6,1,0,0,0,4,1
8170,29,32,0,0,1,3,1
8171,54,96,0,0,1,2,1
8172,21,93,0,0,2,2,1
8173,20,40,0,0,0,0,1
8174,56,71,0,0,3,1,1
8175,11,36,0,0,3,0,1
8176,21,64,0,0,3,0,1
8177,24,58,0,0,1,0,1
8178,51,54,0,0,1,1,1
8179,64,96,0,0,5,0,0
8180,32,1,0,0,1,1,1
8181,93,43,0,0,2,3,1
8182,80,21,0,0,1,0,1
8183,40,56,0,0,2,0,1
8184,106,88,0,0,1,1,0
8185,71,20,0,0,0,2,1
8186,36,32,0,0,1,2,1
8187,58,21,0,0,2,2,1
8188,64,24,0,0,1,4,1
8189,11,1,0,0,2,2,1
8190,51,96,0,0,3,1,1
8191,64,54,0,0,1,0,0
8192,21,43,0,0,1,2,1
8193,93,80,0,0,0,1,1
8194,40,71,0,0,0,0,1
8195,20,56,0,0,4,0,1
8196,54,106,0,0,0,0,0
8197,24,21,0,0,0,0,1
8198,58,64,0,0,2,0,1
8199,64,43,0,0,3,0,0
8200,80,51,0,0,2,2,1
8201,24,40,0,0,1,1,1
8202,20,21,0,0,3,4,1
8203,74,122,0,0,3,1,0
8204,51,24,0,0,3,4,1
8205,64,21,0,0,1,1,0
8206,102,54,0,0,0,4,0
8207,103,79,0,0,0,2,1
8208,24,45,0,0,4,2,1
8209,51,20,0,0,1,3,0
8210,100,87,0,0,1,1,0
8211,79,67,0,0,4,1,0
8212,100,99,0,0,1,2,0
8213,58,79,0,0,2,2,0
8214,89,13,0,0,1,3,0
8215,96,79,0,0,0,2,0
8216,71,46,0,0,0,3,1
8217,28,59,0,0,2,5,0
8218,25,62,0,0,1,0,0
8219,104,94,0,0,2,1,0
8220,5,14,0,0,0,0,0
8221,103,106,0,0,2,1,0
8222,7,85,0,0,3,0,0
8223,137,131,0,0,3,2,0
8224,2,76,0,0,1,1,0
8225,95,1,0,0,0,6,0
8226,79,9,0,0,2,0,0
8227,16,42,0,0,1,1,0
8228,54,10,0,0,1,1,0
8229,20,4,0,0,1,2,0
8230,37,118,0,0,1,1,0
8231,87,100,0,0,4,1,0
8232,56,64,0,0,0,2,0
8233,154,83,0,0,1,2,0
8234,110,109,0,0,1,0,0
8235,38,31,0,0,2,2,0
8236,28,15,0,0,1,5,0
8237,35,49,0,0,2,1,0
8238,27,116,0,0,4,3,0
8239,62,77,0,0,0,3,0
8240,31,64,0,0,1,2,1
8241,71,157,0,0,3,1,0
8242,3,53,0,0,3,2,0
8243,20,6,0,0,2,2,0
8244,47,110,0,0,0,0,0
8245,36,41,0,0,0,2,0
8246,10,83,0,0,1,2,0
8247,47,105,0,0,2,0,0
8248,64,118,0,0,1,2,0
8249,101,148,0,0,5,0,0
8250,142,148,0,0,2,1,1
8251,47,100,0,0,2,0,0
8252,101,142,0,0,2,1,0
8253,45,54,0,0,0,0,0
8254,135,82,0,0,1,2,0
8255,135,82,0,0,2,1,0
8256,69,99,0,0,2,1,0
8257,37,108,0,0,2,2,0
8258,141,50,0,0,0,1,0
8259,27,55,0,0,1,1,0
8260,44,129,0,0,1,0,0
8261,73,120,0,0,4,1,0
8262,142,50,0,0,1,2,0
8263,6,152,0,0,3,0,0
8264,3,67,0,0,1,1,0
8265,94,14,0,0,2,1,0
8266,90,7,0,0,2,2,0
8267,116,57,0,0,1,1,0
8268,29,118,0,0,1,1,0
8269,83,102,0,0,2,0,0
8270,99,47,0,0,1,1,0
8271,25,76,0,0,3,0,0
8272,15,87,0,0,1,1,0
8273,81,157,0,0,4,0,0
8274,53,148,0,0,3,0,0
8275,2,69,0,0,0,0,0
8276,80,41,0,0,1,3,0
8277,16,101,0,0,3,0,0
8278,9,38,0,0,2,1,0
8279,53,106,0,0,1,2,0
8280,84,104,0,0,3,2,0
8281,60,11,0,0,0,2,0
8282,130,22,0,0,0,7,0
8283,33,36,0,0,1,1,0
8284,109,29,0,0,0,3,0
8285,63,4,0,0,1,3,0
8286,32,88,0,0,2,1,0
8287,26,71,0,0,1,1,0
8288,121,92,0,0,2,0,0
8289,46,104,0,0,3,0,0
8290,110,65,0,0,1,2,0
8291,49,137,0,0,6,0,0
8292,13,112,0,0,1,1,0
8293,10,103,0,0,2,0,0
8294,72,114,0,0,1,0,0
8295,61,124,0,0,0,3,0
8296,82,98,0,0,1,0,0
8297,1,93,0,0,3,1,0
8298,66,28,0,0,0,0,0
8299,79,39,0,0,1,0,0
8300,35,16,0,0,3,2,0
8301,74,133,0,0,2,0,0
8302,64,33,0,0,2,1,0
8303,89,107,0,0,4,0,0
8304,58,108,0,0,5,0,0
8305,43,31,0,0,2,2,0
8306,23,55,0,0,1,0,0
8307,97,100,0,0,2,0,0
8308,19,42,0,0,1,0,0
8309,44,20,0,0,0,3,0
8310,148,32,0,0,1,5,0
8311,119,53,0,0,0,2,0
8312,90,116,0,0,2,0,0
8313,69,3,0,0,1,1,0
8314,33,99,0,0,1,0,0
8315,103,53,0,0,0,3,0
8316,137,2,0,0,0,2,0
8317,112,94,0,0,2,0,0
8318,11,1,0,0,1,1,0
8319,14,13,0,0,0,0,0
8320,47,64,0,0,2,2,0
8321,144,55,0,0,0,2,0
8322,76,80,0,0,3,2,0
8323,138,18,0,0,0,4,0
8324,69,101,0,0,2,1,0
8325,37,21,0,0,0,2,0
8326,145,87,0,0,1,2,0
8327,112,67,0,0,4,1,0
8328,155,44,0,0,1,2,0
8329,171,61,0,0,1,6,0
8330,118,169,0,0,4,0,0
8331,157,60,0,0,3,4,0
8332,114,48,0,0,0,1,0
8333,142,110,0,0,2,5,0
8334,104,9,0,0,0,1,0
8335,6,5,0,0,2,0,0
8336,38,77,0,0,1,1,0
8337,129,51,0,0,0,3,1
8338,106,10,0,0,1,1,0
8339,29,7,0,0,1,2,0
8340,11,81,0,0,4,0,0
8341,67,46,0,0,0,0,0
8342,121,50,0,0,0,2,0
8343,71,152,0,0,7,0,0
8344,143,92,0,0,2,2,0
8345,22,25,0,0,0,1,0
8346,49,16,0,0,1,1,0
8347,136,84,0,0,0,1,0
8348,65,8,0,0,1,3,0
8349,91,27,0,0,0,1,0
8350,94,23,0,0,1,2,0
8351,57,109,0,0,2,2,0
8352,135,77,0,0,3,1,0
8353,150,110,0,0,1,0,0
8354,125,82,0,0,0,1,0
8355,179,200,0,0,2,1,0
8356,55,84,0,0,1,1,1
8357,107,72,0,0,1,0,0
8358,53,64,0,0,2,2,1
8359,124,120,0,0,2,0,0
8360,110,55,0,0,1,3,0
8361,109,60,0,0,1,1,0
8362,27,87,0,0,2,2,0
8363,50,39,0,0,1,0,0
8364,68,30,0,0,2,1,0
8365,62,87,0,0,1,2,0
8366,120,84,0,0,1,2,0
8367,74,38,0,0,2,3,0
8368,89,15,0,0,0,2,0
8369,3,17,0,0,4,2,0
8370,85,29,0,0,1,3,0
8371,114,110,0,0,0,0,0
8372,73,113,0,0,4,0,0
8373,99,68,0,0,1,0,0
8374,107,83,0,0,2,1,0
8375,131,82,0,0,1,0,0
8376,28,23,0,0,1,1,0
8377,32,61,0,0,5,0,0
8378,23,41,0,0,2,2,0
8379,101,135,0,0,2,2,0
8380,6,26,0,0,1,0,0
8381,106,11,0,0,0,2,0
8382,7,57,0,0,2,0,0
8383,45,123,0,0,3,1,0
8384,2,14,0,0,0,0,0
8385,119,18,0,0,1,1,0
8386,53,95,0,0,1,1,0
8387,20,13,0,0,0,2,0
8388,56,42,0,0,2,2,0
8389,151,8,0,0,2,2,0
8390,155,33,0,0,0,4,0
8391,92,5,0,0,2,2,0
8392,108,36,0,0,2,2,0
8393,133,88,0,0,0,0,0
8394,103,51,0,0,1,1,0
8395,97,66,0,0,1,1,0
8396,68,37,0,0,0,1,0
8397,57,63,0,0,4,1,0
8398,43,8,0,0,1,0,0
8399,125,64,0,0,1,5,0
8400,4,35,0,0,2,0,0
8401,141,93,0,0,2,2,0
8402,112,21,0,0,1,1,0
8403,22,68,0,0,3,0,0
8404,12,145,0,0,4,0,0
8405,80,16,0,0,1,1,0
8406,59,1,0,0,2,5,0
8407,75,51,0,0,1,0,0
8408,120,45,0,0,0,1,0
8409,100,67,0,0,2,3,0
8410,48,79,0,0,2,0,0
8411,72,76,0,0,0,0,0
8412,86,34,0,0,1,1,0
8413,115,31,0,0,0,3,0
8414,91,44,0,0,1,0,0
8415,64,115,0,0,5,1,0
8416,104,40,0,0,0,1,0
8417,64,125,0,0,6,0,0
8418,99,17,0,0,0,0,0
8419,94,27,0,0,1,3,0
8420,147,92,0,0,1,0,0
8421,123,6,0,0,0,3,0
8422,114,7,0,0,0,1,0
8423,1,28,0,0,0,0,0
8424,41,133,0,0,4,1,0
8425,95,32,0,0,1,3,0
8426,79,3,0,0,0,0,0
8427,101,2,0,0,0,2,0
8428,15,12,0,0,1,1,0
8429,61,53,0,0,1,0,0
8430,144,117,0,0,2,0,0
8431,88,22,0,0,1,4,0
8432,39,54,0,0,1,2,1
8433,14,135,0,0,2,0,0
8434,8,73,0,0,4,3,0
8435,51,106,0,0,0,0,0
8436,145,89,0,0,0,1,0
8437,102,127,0,0,2,1,0
8438,60,49,0,0,1,0,0
8439,170,38,0,0,2,3,0
8440,63,77,0,0,2,2,0
8441,109,25,0,0,1,1,0
8442,111,4,0,0,0,0,0
8443,155,151,0,0,0,4,0
8444,142,96,0,0,3,0,0
8445,10,64,0,0,3,0,0
8446,113,68,0,0,1,1,0
8447,5,45,0,0,3,1,0
8448,110,85,0,0,3,3,0
8449,37,43,0,0,3,0,0
8450,50,19,0,0,0,1,0
8451,23,68,0,0,1,1,0
8452,8,33,0,0,7,1,0
8453,62,20,0,0,2,3,0
8454,120,138,0,0,2,0,0
8455,115,146,0,0,0,3,0
8456,87,47,0,0,2,2,0
8457,137,151,0,0,2,1,0
8458,74,84,0,0,3,0,0
8459,80,105,0,0,2,0,0
8460,11,103,0,0,6,0,0
8461,57,29,0,0,2,3,0
8462,59,48,0,0,3,1,0
8463,128,139,0,0,3,1,0
8464,48,38,0,0,0,3,1
8465,68,38,0,0,1,0,0
8466,18,48,0,0,2,2,1
8467,51,67,0,0,0,0,0
8468,10,48,0,0,2,1,1
8469,115,205,0,0,6,1,0
8470,127,67,0,0,2,2,1
8471,205,161,0,0,4,5,1
8472,115,128,0,0,1,1,0
8473,115,161,0,0,2,0,0
8474,60,138,0,0,2,3,0
8475,161,128,0,0,1,2,1
8476,60,151,0,0,3,0,0
8477,8,62,0,0,2,0,1
8478,88,39,0,0,4,0,0
8479,62,94,0,0,1,0,1
8480,115,8,0,0,0,5,1
8481,49,35,0,0,2,2,1
8482,45,125,0,0,4,1,1
8483,14,23,0,0,1,0,0
8484,70,31,0,0,1,2,1
8485,143,6,0,0,0,3,1
8486,3,52,0,0,3,2,0
8487,123,28,0,0,1,1,0
8488,116,37,0,0,0,0,0
8489,48,133,0,0,4,0,0
8490,49,139,0,0,7,0,0
8491,28,94,0,0,1,0,0
8492,105,55,0,0,1,2,0
8493,44,1,0,0,1,0,0
8494,2,26,0,0,0,0,0
8495,107,13,0,0,2,2,0
8496,16,22,0,0,3,0,0
8497,17,147,0,0,3,1,0
8498,62,95,0,0,0,1,0
8499,58,27,0,0,0,0,0
8500,99,93,0,0,3,1,0
8501,20,166,0,0,7,0,0
8502,10,43,0,0,1,0,0
8503,17,118,0,0,1,0,0
8504,85,84,0,0,2,1,0
8505,24,136,0,0,2,0,0
8506,60,120,0,0,6,1,0
8507,109,109,0,0,0,0,0
8508,140,67,0,0,1,3,0
8509,155,8,0,0,0,5,0
8510,91,5,0,0,0,2,0
8511,132,74,0,0,0,2,0
8512,8,115,0,0,8,0,0
8513,34,83,0,0,4,0,0
8514,55,140,0,0,0,0,0
8515,101,102,0,0,3,0,0
8516,70,80,0,0,2,1,0
8517,65,39,0,0,2,0,0
8518,33,76,0,0,4,0,0
8519,166,103,0,0,0,1,0
8520,30,137,0,0,3,0,0
8521,77,15,0,0,1,4,0
8522,55,40,0,0,0,0,0
8523,41,21,0,0,2,1,0
8524,4,7,0,0,1,0,0
8525,89,151,0,0,0,1,0
8526,72,131,0,0,1,1,0
8527,12,67,0,0,0,3,0
8528,88,96,0,0,1,0,0
8529,19,24,0,0,1,0,0
8530,11,53,0,0,1,1,0
8531,51,152,0,0,6,1,0
8532,65,73,0,0,0,0,0
8533,88,69,0,0,2,3,0
8534,183,159,0,0,1,2,1
8535,145,149,0,0,2,2,1
8536,98,199,0,0,11,0,1
8537,64,202,0,0,5,0,0
8538,175,183,0,0,0,1,1
8539,53,199,0,0,11,1,0
8540,202,149,0,0,1,1,1
8541,64,145,0,0,2,0,0
8542,88,60,0,0,0,1,0
8543,159,175,0,0,0,2,1
8544,145,202,0,0,5,2,1
8545,53,98,0,0,3,1,0
8546,118,153,0,0,1,0,0
8547,64,149,0,0,1,0,0
8548,32,37,0,0,1,1,0
8549,74,55,0,0,0,1,1
8550,118,139,0,0,0,0,0
8551,72,76,0,0,0,0,0
8552,48,43,0,0,1,2,0
8553,67,55,0,0,2,3,1
8554,65,109,0,0,4,1,0
8555,139,153,0,0,2,2,1
8556,74,76,0,0,5,0,1
8557,72,55,0,0,1,1,0
8558,48,67,0,0,2,2,0
8559,43,55,0,0,0,0,1
8560,45,131,0,0,3,1,1
8561,88,60,0,0,1,1,0
8562,65,131,0,0,3,0,0
8563,60,133,0,0,3,0,0
8564,166,99,0,0,0,6,1
8565,109,118,0,0,1,1,0
8566,193,153,0,0,0,1,1
8567,99,118,0,0,0,0,1
8568,109,185,0,0,9,1,0
8569,45,55,0,0,1,3,1
8570,120,193,0,0,4,1,0
8571,65,88,0,0,2,2,0
8572,72,153,0,0,1,1,1
8573,48,131,0,0,1,1,1
8574,148,158,0,0,2,1,0
8575,166,185,0,0,2,1,1
8576,30,60,0,0,1,2,1
8577,109,99,0,0,0,3,0
8578,175,64,0,0,0,4,0
8579,98,115,0,0,1,0,1
8580,85,113,0,0,2,2,1
8581,120,153,0,0,0,1,0
8582,122,53,0,0,1,1,0
8583,106,192,0,0,2,0,1
8584,158,97,0,0,3,1,1
8585,99,185,0,0,8,0,1
8586,55,88,0,0,2,1,1
8587,65,45,0,0,3,3,0
8588,118,166,0,0,6,2,1
8589,60,48,0,0,1,1,1
8590,120,72,0,0,2,1,0
8591,30,131,0,0,2,0,1
8592,192,85,0,0,0,1,1
8593,113,106,0,0,2,1,1
8594,185,118,0,0,0,3,1
8595,148,97,0,0,0,0,0
8596,138,100,0,0,1,1,0
8597,115,98,0,0,0,2,0
8598,171,158,0,0,0,2,1
8599,109,166,0,0,3,0,0
8600,45,88,0,0,1,1,1
8601,17,16,0,0,0,3,0
8602,65,55,0,0,2,1,0
8603,72,193,0,0,3,1,1
8604,48,30,0,0,3,0,1
8605,148,171,0,0,2,0,0
8606,60,131,0,0,3,0,1
8607,20,101,0,0,1,0,0
8608,85,106,0,0,1,1,1
8609,136,137,0,0,0,0,0
8610,113,192,0,0,4,0,1
8611,53,122,0,0,2,1,0
8612,24,16,0,0,3,1,0
8613,171,97,0,0,1,5,1
8614,64,175,0,0,2,0,0
8615,56,49,0,0,3,2,1
8616,66,54,0,0,2,0,0
8617,79,19,0,0,1,5,0
8618,62,71,0,0,0,1,0
8619,151,74,0,0,2,2,0
8620,114,152,0,0,1,2,1
8621,49,54,0,0,3,1,1
8622,66,56,0,0,1,1,0
8623,151,152,0,0,3,0,0
8624,74,114,0,0,1,2,1
8625,91,120,0,0,1,2,0
8626,144,112,0,0,3,4,1
8627,112,144,0,0,4,2,0
8628,120,91,0,0,1,4,0
8629,34,109,0,0,3,0,0
8630,91,112,0,0,1,3,0
8631,95,76,0,0,0,1,0
8632,153,63,0,0,2,1,0
8633,27,95,0,0,3,3,0
8634,26,22,0,0,2,1,1
8635,120,144,0,0,2,1,1
8636,76,95,0,0,1,1,0
8637,112,91,0,0,2,1,0
8638,71,26,0,0,1,1,1
8639,29,21,0,0,1,1,1
8640,61,115,0,0,1,0,0
8641,55,36,0,0,1,1,0
8642,13,21,0,0,1,1,1
8643,121,148,0,0,3,0,0
8644,68,29,0,0,1,2,1
8645,61,115,0,0,2,0,0
8646,50,36,0,0,0,1,0
8647,30,135,0,0,3,0,0
8648,39,101,0,0,2,0,0
8649,55,85,0,0,3,2,0
8650,7,13,0,0,0,0,1
8651,40,36,0,0,0,0,0
8652,39,101,0,0,2,0,0
8653,19,149,0,0,4,0,0
8654,30,99,0,0,1,0,0
8655,61,92,0,0,1,0,0
8656,50,107,0,0,2,1,1
8657,63,30,0,0,0,0,1
8658,20,79,0,0,2,1,0
8659,19,85,0,0,3,0,0
8660,97,55,0,0,0,0,1
8661,61,92,0,0,2,1,0
8662,21,33,0,0,0,1,0
8663,121,153,0,0,3,2,0
8664,61,92,0,0,0,1,0
8665,109,82,0,0,1,1,0
8666,41,78,0,0,2,2,1
8667,66,43,0,0,1,2,1
8668,86,57,0,0,0,2,0
8669,74,84,0,0,3,0,0
8670,82,66,0,0,1,1,1
8671,115,116,0,0,0,0,0
8672,50,20,0,0,0,0,0
8673,23,30,0,0,1,0,1
8674,75,39,0,0,3,0,0
8675,27,7,0,0,1,2,0
8676,109,43,0,0,1,2,0
8677,33,44,0,0,4,0,0
8678,8,6,0,0,0,0,0
8679,2,13,0,0,1,1,0
8680,106,100,0,0,1,0,0
8681,16,3,0,0,2,2,0
8682,18,14,0,0,2,1,0
8683,88,51,0,0,2,2,1
8684,134,1,0,0,1,7,0
8685,12,9,0,0,1,0,0
8686,49,23,0,0,3,3,0
8687,10,32,0,0,2,0,0
8688,19,97,0,0,2,1,0
8689,21,55,0,0,2,0,0
8690,93,141,0,0,0,0,0
8691,135,36,0,0,0,3,0
8692,34,75,0,0,5,1,0
8693,109,90,0,0,0,1,0
8694,101,68,0,0,0,0,0
8695,25,68,0,0,1,3,0
8696,28,53,0,0,2,2,1
8697,42,4,0,0,0,3,0
8698,38,58,0,0,1,1,0
8699,5,165,0,0,5,0,0
8700,61,11,0,0,1,2,0
8701,83,51,0,0,1,2,0
8702,47,30,0,0,1,1,0
8703,63,80,0,0,3,0,0
8704,68,63,0,0,2,0,0
8705,121,182,0,0,3,3,0
8706,68,92,0,0,2,1,1
8707,27,37,0,0,1,2,0
8708,110,101,0,0,0,1,1
8709,70,181,0,0,2,0,0
8710,58,158,0,0,5,1,1
8711,121,71,0,0,0,3,0
8712,46,62,0,0,2,1,1
8713,181,58,0,0,0,4,1
8714,27,110,0,0,2,1,1
8715,70,158,0,0,4,0,0
8716,121,46,0,0,0,1,0
8717,115,73,0,0,0,2,0
8718,62,71,0,0,1,2,1
8719,70,58,0,0,1,1,0
8720,6,26,0,0,1,1,0
8721,158,181,0,0,1,0,1
8722,101,27,0,0,0,1,1
8723,121,62,0,0,2,3,0
8724,71,46,0,0,0,1,1
8725,70,27,0,0,0,4,0
8726,58,101,0,0,1,0,1
8727,105,71,0,0,0,0,0
8728,143,150,0,0,2,0,0
8729,173,40,0,0,0,3,1
8730,27,58,0,0,1,1,1
8731,70,101,0,0,3,0,0
8732,113,60,0,0,2,1,0
8733,143,40,0,0,0,1,0
8734,134,185,0,0,6,0,1
8735,205,134,0,0,0,15,1
8736,95,185,0,0,6,0,1
8737,6,3,0,0,1,1,1
8738,185,205,0,0,4,1,1
8739,11,26,0,0,3,0,0
8740,205,95,0,0,0,21,1
8741,77,99,0,0,1,1,0
8742,56,38,0,0,0,1,0
8743,106,131,0,0,3,1,0
8744,134,95,0,0,0,2,1
8745,30,32,0,0,0,1,0
8746,60,105,0,0,1,1,0
8747,56,120,0,0,3,1,1
8748,30,38,0,0,1,4,0
8749,107,115,0,0,0,0,0
8750,142,158,0,0,1,2,0
8751,11,58,0,0,1,0,0
8752,21,84,0,0,1,0,1
8753,77,79,0,0,2,2,0
8754,20,18,0,0,2,1,0
8755,91,52,0,0,1,2,0
8756,54,46,0,0,2,1,0
8757,30,22,0,0,2,0,0
8758,120,139,0,0,2,1,0
8759,59,45,0,0,2,1,0
8760,51,77,0,0,4,1,0
8761,96,3,0,0,1,2,0
8762,39,13,0,0,0,3,0
8763,84,129,0,0,1,2,0
8764,74,15,0,0,1,1,0
8765,21,97,0,0,2,1,0
8766,24,95,0,0,4,0,0
8767,113,42,0,0,2,1,0
8768,4,36,0,0,4,3,0
8769,17,149,0,0,3,0,0
8770,8,111,0,0,4,0,0
8771,82,54,0,0,1,2,0
8772,2,49,0,0,0,0,0
8773,100,14,0,0,1,3,0
8774,62,60,0,0,5,1,0
8775,52,12,0,0,1,1,0
8776,10,88,0,0,2,0,0
8777,77,103,0,0,1,0,0
8778,144,33,0,0,1,2,0
8779,34,88,0,0,1,0,0
8780,23,106,0,0,2,0,0
8781,27,116,0,0,8,0,0
8782,9,84,0,0,4,1,0
8783,29,7,0,0,0,2,0
8784,32,124,0,0,6,1,0
8785,44,18,0,0,0,1,0
8786,40,112,0,0,2,1,0
8787,5,57,0,0,3,0,0
8788,38,108,0,0,7,0,0
8789,15,88,0,0,2,0,0
8790,65,26,0,0,0,0,0
8791,71,80,0,0,0,2,0
8792,72,118,0,0,2,0,0
8793,75,100,0,0,1,0,0
8794,1,70,0,0,1,0,0
8795,25,107,0,0,2,1,0
8796,76,79,0,0,1,1,0
8797,36,28,0,0,5,2,0
8798,31,64,0,0,4,1,0
8799,42,122,0,0,3,0,0
8800,54,87,0,0,1,2,0
8801,6,10,0,0,2,1,0
8802,63,72,0,0,2,0,0
8803,59,92,0,0,3,0,0
8804,96,65,0,0,3,1,0
8805,12,57,0,0,1,0,0
8806,139,4,0,0,0,4,0
8807,3,26,0,0,1,0,0
8808,80,71,0,0,1,0,0
8809,77,102,0,0,1,1,0
8810,24,137,0,0,3,0,0
8811,8,116,0,0,2,0,0
8812,82,33,0,0,1,1,0
8813,100,15,0,0,2,5,0
8814,14,88,0,0,2,0,0
8815,69,39,0,0,1,1,0
8816,52,2,0,0,1,1,0
8817,10,95,0,0,0,0,0
8818,18,52,0,0,1,0,0
8819,91,20,0,0,0,2,0
8820,22,46,0,0,2,1,0
8821,54,30,0,0,0,0,0
8822,67,155,0,0,4,0,0
8823,94,29,0,0,1,2,0
8824,114,35,0,0,0,0,0
8825,7,120,0,0,2,0,0
8826,97,6,0,0,1,1,0
8827,28,74,0,0,2,1,0
